y_test,y_pred
[131.9619],29.09497
[131.9619],139.17107
[130.2177],123.49905
[126.8508],125.985695
[0.7757],36.88301
[0.7757],5.4829874
[70.4156],36.88301
[70.4156],13.883022
[0.7127],3.4377415
[7.8908],43.677254
[7.8908],81.774155
[7.7211],11.449165
[7.6372],10.550042
[6.7738],3.6635396
[2.7559],2.2860358
[2.6968],3.2434373
[1.8841],3.3330126
[1.6416],0.45907032
[0.8361],29.09497
[0.8361],42.655136
[0.0401],-2.935184
[0.04],4.99887
[0.0002],4.81665
[0.7692],25.635487
[0.7692],29.010012
[0.0215],10.186832
[0.0214],6.1680937
[0.0002],-2.1221004
[21.991],29.09497
[21.991],17.671358
[21.3264],11.169127
[21.3263],13.962533
[6.9722],4.119691
[6.9721],14.801436
[6.1685],7.419644
[0.4609],19.674429
[0.4609],28.288696
[0.3427],1.3628368
[0.0706],-1.2712263
[0.0004],-1.7492427
[0.0002],-1.9620382
[3.9064],10.301628
[3.9064],4.825435
[3.6953],5.1408725
[3.6948],5.3518047
[1.9586],2.362838
[1.9584],4.0230484
[0.9661],5.7088556
[3.1326],29.09497
[3.1326],20.482813
[0.3377],5.2787437
[0.0007],3.4564564
[21.0037],21.994905
[21.0037],14.0556965
[20.9153],10.219416
[18.2056],6.954626
[4.0693],1.7909957
[4.069],13.616822
[1.3482],7.0832562
[51.922],25.635487
[51.922],35.380157
[49.3771],9.18547
[49.2022],11.372558
[49.2021],9.453095
[30.9388],10.394177
[30.9381],4.6550045
[13.158],12.315356
[6.9091],-0.6209728
[6.9089],8.995571
[6.9086],0.8165003
[6.9083],5.6364546
[4.8615],16.620003
[4.861],17.526327
[4.8608],18.347103
[4.8464],10.342674
[4.8461],16.076227
[0.0003],-0.5648717
[10.1835],25.635487
[10.1835],15.405003
[7.6592],13.408419
[0.0007],4.213999
[135.1192],13.70857
[135.1192],153.78043
[134.9479],153.8217
[16.0322],16.514399
[16.0322],25.334797
[15.9249],9.168906
[14.2658],15.084036
[14.205],10.7789755
[6.2498],5.7963347
[0.0007],-0.4260009
[0.9891],4.1719594
[0.9891],2.3261662
[0.9681],0.035332993
[0.9466],-0.5821255
[0.2779],-1.0855042
[64.716],35.579266
[64.716],37.988194
[64.6777],68.32156
[0.0003],-4.230427
[34.8894],48.835545
[34.8894],13.700822
[34.8829],20.6757
[34.8826],20.36368
[18.1551],11.998483
[18.1546],21.020893
[0.0004],-7.6937222
[0.047],11.272103
[0.047],7.379092
[0.0324],4.5989647
[0.0009],-1.6222062
[0.0003],-3.2074919
[2.3006],30.22359
[2.3006],42.987087
[1.0344],5.4938774
[1.0085],4.854447
[0.0002],0.67646116
[13.8668],16.514399
[13.8668],16.382893
[13.8388],8.247537
[12.6431],13.289933
[11.6466],8.256316
[11.6058],9.11287
[4.9663],2.567624
[4.6302],3.5668418
[5.8626],16.514399
[5.8626],12.804219
[5.68],7.9182506
[4.9906],5.574954
[2.7364],2.7255394
[17.0642],19.102747
[17.0642],9.477191
[14.8737],19.018896
[14.1967],14.404812
[0.8623],-1.0210167
[119.0045],43.677254
[119.0045],122.25479
[118.7916],116.40997
[1.7423],13.746535
[1.7423],7.3225436
[1.6216],4.4580903
[1.0395],5.6206555
[1.012],0.055205327
[24.0236],25.635487
[24.0236],26.075771
[24.0044],16.095367
[9.1151],14.616181
[9.1063],20.115772
[0.0001],3.4400997
[15.9777],21.994905
[15.9777],11.774603
[15.808],23.314707
[14.9464],17.69651
[0.7581],1.0273007
[12.104],29.09497
[12.104],32.459507
[10.2763],24.57963
[10.2762],19.874321
[0.0004],3.679032
[0.757],10.301628
[0.757],5.204048
[0.7306],2.4475956
[0.7298],4.369418
[0.0016],0.6228979
[62.0471],25.635487
[62.0471],35.380157
[60.1934],68.45268
[60.1932],59.501266
[0.0003],0.75228506
[7.8326],4.1719594
[7.8326],0.34299168
[1.8835],-3.2548869
[0.1907],-0.49927926
[0.0077],1.5414622
[22.7676],19.674429
[22.7676],28.288696
[22.7236],23.886961
[22.0129],23.96128
[0.0002],-0.18309775
[0.7236],43.677254
[0.7236],4.270366
[0.716],43.677254
[0.716],3.2843115
[0.6905],43.677254
[0.6905],3.083435
[90.4991],31.316303
[90.4991],37.09326
[88.8095],39.593685
[88.8093],12.105263
[88.7608],55.392685
[60.6329],16.534498
[57.803],58.509342
[6.7355],20.538296
[0.0004],45.97461
[0.0002],12.077863
[4.7595],35.269268
[4.7595],8.597019
[3.6329],24.013187
[0.8581],5.4635077
[0.656],8.430872
[78.0129],25.635487
[78.0129],26.075771
[77.1356],13.337335
[56.7921],41.78908
[56.791],56.089016
[56.7888],68.69507
