y_test,y_pred
[11.0481],36.857258
[11.0481],34.35971
[11.0265],23.73865
[11.0263],18.77014
[0.0002],-4.6141663
[53.2961],45.640892
[53.2961],57.497517
[53.2315],52.4508
[53.231],58.241123
[32.5206],31.668346
[32.5201],38.739258
[32.4772],47.977787
[53.2872],45.640892
[53.2872],57.497517
[53.228],52.4508
[53.2276],50.367603
[32.5423],31.668346
[32.5419],37.074516
[32.4741],42.277348
[11.9445],32.755997
[11.9445],12.251798
[11.3767],15.139473
[11.3766],15.569939
[8.261],12.5336685
[8.2608],8.252592
[1.2103],4.163719
[53.2128],45.640892
[53.2128],57.497517
[53.2125],53.55669
[53.2122],51.819313
[32.5319],31.668346
[32.5315],37.074516
[32.4535],38.29675
[53.216],45.640892
[53.216],17.353945
[52.6053],38.114014
[52.605],45.67408
[32.0484],31.967104
[32.0479],38.739258
[0.0002],7.224174
[53.2109],45.640892
[53.2109],57.497517
[52.6076],43.370773
[52.6073],51.819313
[32.4589],31.967104
[32.4586],38.822018
[32.4531],30.063705
[46.947],38.777138
[46.947],6.682588
[46.4114],-3.0525546
[0.2573],-3.7654674
[0.2549],-11.7309475
[0.2548],28.340979
[0.2418],22.536678
[4.3365],8.296285
[4.3365],18.095383
[0.0045],-2.2526693
[4.1649],32.755997
[4.1649],13.948236
[2.1139],3.1608467
[2.1138],7.283596
[0.9476],2.0211744
[0.9474],1.7828773
[0.8481],-0.2541992
[7.0184],32.755997
[7.0184],22.921062
[5.9592],19.550982
[5.9591],15.121362
[5.0424],4.254821
[5.0423],4.4652576
[0.2045],0.025494494
[42.7128],103.08439
[42.7128],198.22124
[41.7699],122.258575
[1.6254],73.180016
[1.6254],4.06075
[1.011],21.669022
[0.0008],0.96540755
[1.6068],73.180016
[1.6068],33.598106
[1.0069],27.628609
[0.0005],0.32304773
[31.2527],38.777138
[31.2527],25.689594
[30.9562],24.71038
[30.956],26.679459
[30.042],24.645098
[30.0419],19.5215
[24.9848],10.980336
[24.9846],22.44669
[0.0003],-5.7914386
[43.0083],36.857258
[43.0083],34.35971
[41.9942],48.707783
[41.994],41.896534
[0.0002],1.291178
[0.0666],32.755997
[0.0666],16.432314
[0.0081],13.512163
[13.0932],20.167168
[13.0932],14.897821
[12.2921],4.196603
[1.0474],3.9681993
[0.0051],5.891635
[5.8184],70.0679
[5.8184],43.163162
[4.9597],-0.9457128
[4.7971],9.206919
[0.0003],-0.5325048
[0.8698],32.755997
[0.8698],40.761738
[0.2397],8.893109
[0.1378],3.5667372
[0.1377],-3.153223
[0.0002],1.7695941
[29.2262],32.755997
[29.2262],34.538475
[29.2215],25.500612
[29.2214],27.278206
[24.9729],20.719336
[24.9728],17.567806
[23.9497],14.405913
[4.0529],9.48829
[4.0529],5.6549034
[3.9992],9.713857
[0.1241],0.22647166
[0.1028],-5.102161
[82.0412],38.777138
[82.0412],104.33892
[81.2471],73.28458
[81.2418],86.3514
[81.2348],43.880276
[81.2345],41.967323
[71.0917],18.033829
[68.8645],11.94757
[63.9872],-1.3841982
[4.9449],38.777138
[4.9449],33.28531
[4.3256],14.338314
[0.0002],3.195962
[3.9646],32.755997
[3.9646],9.475356
[0.316],2.295159
[0.3159],2.5405803
[0.314],-7.2985816
[0.3139],-1.0841123
[0.2348],-1.688885
[0.7868],8.296285
[0.7868],1.086276
[0.0022],1.4541829
[11.9529],40.887913
[11.9529],14.758761
[11.8828],10.234683
[8.265],12.768475
[8.0125],3.5970345
[8.0124],7.870663
[0.0063],0.47426718
[13.9028],32.755997
[13.9028],40.761738
[10.2485],14.279207
[9.0607],6.637979
[9.0606],9.197899
[0.0002],-4.3389807
[4.894],38.777138
[4.894],33.28531
[4.3247],10.056849
[0.0002],4.9304156
[4.8631],38.777138
[4.8631],33.28531
[4.3239],9.5680485
[0.0002],0.3414865
[4.852],38.777138
[4.852],28.555798
[4.3229],9.5680485
[0.0007],1.7068169
[28.1035],38.777138
[28.1035],33.28531
[25.2214],33.253296
[24.9629],22.451849
[24.9627],18.796345
[24.9626],16.017916
[22.6838],11.87137
[22.6834],10.917162
[0.0002],-5.0232215
[132.0261],70.0679
[132.0261],57.3094
[131.9264],35.06914
[131.9262],60.616993
[44.1736],48.84895
[44.1733],34.492615
[29.9345],130.30527
[29.9343],106.93993
[28.0872],134.0153
[123.9442],40.887913
[123.9442],23.976522
[121.0831],11.397997
[0.0029],53.641235
[0.0025],4.280782
[0.001],-4.0370336
[0.0006],47.87834
[0.0002],12.045451
[8.7003],55.65995
[8.7003],18.283815
[5.7659],7.686543
[5.7446],-0.82340777
[0.0013],-0.81110966
[0.0009],0.20260367
[8.6976],55.65995
[8.6976],63.867405
[5.7677],1.4255929
[5.7471],3.8182702
[0.0008],-0.81110966
[0.0004],0.20260367
[8.6796],55.65995
[8.6796],142.61783
[8.5973],52.13372
[5.9436],9.42119
[5.7495],7.706085
[5.7335],-2.2466087
[0.0022],-4.6262074
[0.0017],-2.1873317
[8.6698],55.65995
[8.6698],52.781567
[8.5681],30.69461
[5.9374],9.42119
[5.7426],7.706085
[5.7274],-2.651495
[0.0012],-4.6262074
[0.0008],-1.6998596
[40.0616],27.14428
[40.0616],47.787407
[37.6693],30.065264
[27.9358],42.46991
[0.7378],5.704223
[3.6408],38.777138
[3.6408],25.689594
[2.2213],4.7573285
[1.9681],4.8129787
[1.968],-2.0331354
[0.0003],-1.9142356
[43.5191],45.640892
[43.5191],57.497517
[43.4179],47.556225
[42.4861],90.14825
[32.4991],30.745543
[32.4564],30.888086
[2.1331],38.777138
[2.1331],12.517315
[1.1909],3.8659554
[0.9666],-2.2013483
[0.9665],-0.9494283
[0.966],0.8684906
[0.9659],1.0472472
[0.6954],2.1427667
[2.1268],38.777138
[2.1268],12.517315
[1.1906],8.324374
[0.9697],-1.1932632
[0.9696],1.5599538
[0.6951],0.8674597
[91.3399],32.755997
[91.3399],40.761738
[91.2892],102.52225
[0.0002],8.761258
[42.2601],27.894703
[42.2601],62.440773
[42.0685],49.904476
[29.0066],38.47948
[29.0066],46.571503
[26.6466],40.70228
[26.6464],27.950409
[0.0001],8.820338
[121.958],70.0679
[121.958],-0.28060317
[114.776],29.083635
[111.725],24.503616
[104.6541],20.478338
[104.6534],33.37269
[44.8378],19.889175
[43.2071],54.6521
[43.2069],28.61324
[41.8253],16.279383
[41.8252],21.743446
[16.8524],32.16561
[16.8523],15.931619
[16.8499],25.6049
[16.8498],10.854417
[0.0019],31.431192
[38.9607],38.777138
[38.9607],39.466793
[36.7959],55.960785
[24.0622],25.270126
[2.1901],40.887913
[2.1901],26.525555
[0.1543],73.180016
[0.1543],22.530031
[7.6628],9.48829
[7.6628],14.524158
[6.8963],11.094991
[6.7103],7.642828
[0.0004],-0.011266299
[108.5732],73.180016
[108.5732],50.53796
[108.5148],114.2169
[0.0002],19.330942
[8.2812],72.661385
[8.2812],34.328312
[8.1366],13.370257
[0.0011],0.8623054
[48.1326],38.777138
[48.1326],33.28531
[46.836],42.071213
[18.8756],16.190014
[18.8752],46.502785
[0.0002],11.861411
[142.1139],36.857258
[142.1139],34.35971
[142.0286],135.3561
[142.0281],79.95549
[0.0002],-23.971893
[132.8909],53.252644
[132.8909],47.33821
[131.9802],37.941833
[129.7921],54.7568
[35.9531],76.52774
[34.9167],120.37408
[34.7753],158.37471
[139.8462],38.777138
[139.8462],33.28531
[139.016],145.57468
[0.0002],-1.7420928
[8.2407],32.755997
[8.2407],12.838888
[8.2014],14.966498
[8.2013],14.686623
[6.2043],3.7843637
[6.2042],5.4701486
[2.0659],1.5316448
[6.0446],38.777138
[6.0446],33.28531
[5.8395],21.641823
[0.0002],-0.6326012
[0.189],40.887913
[0.189],23.976522
[0.1431],24.001925
[0.1076],5.72206
[0.0002],-0.75821817
[7.7829],32.755997
[7.7829],13.337204
[7.6743],16.141605
[7.026],15.413344
[3.0081],5.7916865
[109.9953],70.0679
[109.9953],5.469578
[105.0185],33.394886
[102.0153],38.99282
[27.2357],59.958534
[27.2354],26.348618
[0.0146],53.71107
[0.0143],66.08179
[0.0021],41.993233
[60.8716],38.777138
[60.8716],67.894196
[60.2808],31.234913
[10.1463],8.084759
[10.1462],28.845533
[5.2355],24.018658
[49.3665],32.755997
[49.3665],9.066251
[45.3848],51.802746
[45.3847],35.533077
[44.209],41.894268
[44.2081],53.699184
[42.1511],30.307947
[42.1333],40.79924
[0.3264],3.0215402
[59.7603],38.777138
[59.7603],33.28531
[55.8921],42.226185
[20.581],28.872568
[20.5804],38.670242
[0.0002],3.7571568
[45.5424],27.894703
[45.5424],37.115692
[44.6725],48.028336
[41.9428],61.909023
[38.8759],29.134926
[33.018],38.777138
