y_test,y_pred
[206.8273],117.50581
[206.8272],154.49037
[204.0288],115.2061
[197.1271],113.89658
[89.8733],42.968647
[89.8719],45.711487
[59.9427],69.00068
[49.7636],54.195324
[28.9973],84.48385
[28.9967],42.71109
[25.6762],65.320114
[24.0594],38.595993
[10.8156],25.619467
[10.8129],42.44409
[4.0238],14.651185
[4.0238],47.642292
[1.1559],5.572013
[0.7372],19.433792
[0.0005],3.8092535
[0.0003],11.442875
[217.9356],117.50581
[217.9356],272.77963
[213.1036],213.96881
[155.1969],91.9658
[126.1957],168.57446
[125.9528],116.741554
[125.9528],89.53661
[121.2213],69.81527
[91.231],37.160137
[91.1228],52.534565
[91.1222],96.15928
[647.854],117.50581
[647.854],130.18837
[592.2441],118.74415
[587.2388],61.27566
[587.2293],163.99452
[587.2289],125.45968
[587.0666],218.88768
[583.9935],266.9139
[564.2266],316.2614
[556.9944],332.3741
[556.986],343.7041
[556.986],228.45926
[556.0246],220.92966
[550.059],113.604225
[550.0339],360.5151
[550.0338],283.8536
[550.0336],222.97731
[361.2085],465.37265
[76.9556],358.38586
[76.9157],337.26926
[76.8408],353.84692
[9.9841],345.42673
[0.0004],345.4845
[0.0003],43.342003
[164.9985],117.50581
[164.9985],130.18837
[161.8063],87.60069
[60.0689],64.63155
[52.0431],48.793537
[51.9631],21.032309
[51.8505],34.861122
[44.0074],45.827026
[41.4603],25.947447
[37.6334],35.586536
[15.7524],7.071458
[15.7512],6.801997
[15.7465],19.227177
[14.7433],4.4718447
[14.7433],2.4005027
[14.7432],-1.3508421
[2.8789],16.349106
[2.8785],22.0565
[2.8779],27.343319
[2.8496],27.2847
[2.8496],39.035942
[2.0987],6.9684644
[2.0987],26.099524
[0.1088],25.259182
[0.0003],24.973715
[155.8057],117.50581
[155.8057],122.21454
[153.2379],138.18947
[51.2574],83.11283
[43.2125],62.844494
[43.2114],85.405205
[43.1483],69.95703
[33.7105],83.02684
[33.0842],23.161057
[9.0852],67.28934
[7.2411],21.81723
[6.9285],14.230945
[6.9285],9.626964
[6.024],2.360147
[0.276],-4.0137014
[0.0012],3.2076135
[0.0011],-3.1883898
[276.0136],117.50581
[276.0136],130.18837
[275.8826],222.83182
[141.9042],84.90212
[87.117],76.96564
[87.1124],39.85407
[87.1122],53.4739
[66.0269],78.66386
[63.8585],52.72746
[37.859],29.673307
[37.8444],64.44438
[34.9424],37.77457
[34.9424],41.5871
[3.1573],51.816517
[3.1573],21.158962
[0.9314],6.271882
[0.2177],3.9611874
[0.0004],23.509403
[0.0003],33.349445
[163.7857],117.50581
[163.7857],130.18837
[158.1547],93.17818
[56.1254],143.92538
[48.9599],42.067204
[48.9551],105.71181
[48.9549],73.24188
[48.758],65.97408
[37.7103],43.91104
[31.1621],35.214714
[31.1509],63.282272
[17.9054],9.293315
[17.9054],47.09887
[3.2934],14.762581
[0.2619],1.5511438
[0.0006],18.52657
[0.0003],12.335006
[480.8674],117.50581
[480.8674],164.5809
[469.7535],399.11038
[378.9315],106.88462
[362.6919],31.263247
[362.6899],113.91695
[362.6896],87.379105
[353.9026],117.1827
[346.9172],94.804855
[342.9646],39.633915
[342.9531],45.199127
[342.9528],69.8592
[342.596],73.73701
[339.6858],55.63731
[327.6775],41.956535
[327.6652],40.09464
[322.6583],42.284145
[320.6027],55.492622
[320.6009],90.96305
[48.7649],-55.329002
[47.7322],14.330893
[47.7317],101.129196
[47.7305],87.202774
[42.8674],65.351494
[42.6588],58.36673
[35.7452],68.97381
[29.015],27.478104
[29.015],43.171032
[21.9817],52.43506
[21.9817],62.067688
[12.0125],40.67153
[0.663],33.2226
[0.0003],-28.043022
[0.0002],7.2053313
[200.7729],117.50581
[200.7729],206.38948
[98.9593],148.09973
[82.7771],49.191082
[82.7725],122.42107
[82.7722],77.46722
[82.7652],122.807335
[77.9912],139.0793
[77.6206],69.17657
[56.6614],26.378868
[53.8888],12.9848175
[53.8284],7.650796
[53.7781],76.168465
[53.7779],77.83119
[0.0162],10.325811
[95.9352],117.50581
[95.9352],129.59209
[28.7169],44.822453
[25.9047],74.86017
[25.8981],34.82932
[11.9648],30.006996
[11.9648],17.250587
[11.6664],4.5131474
[11.6664],7.516207
[6.9841],12.507568
[0.6472],4.4769425
[0.0009],16.984161
[0.0008],40.004253
[146.116],117.50581
[146.116],164.5809
[45.1827],108.36015
[29.1107],53.37061
[29.1055],53.988773
[29.1052],40.279682
[29.0454],34.30625
[26.837],21.70706
[23.2089],25.554415
[5.8958],38.55428
[5.8951],51.05254
[2.2223],28.727262
[2.2223],9.216112
[0.1095],5.1043286
[0.0644],1.2108141
[0.0002],25.912844
[197.0559],117.50581
[197.0559],237.00212
[99.2498],100.42762
[83.254],49.96495
[83.2483],179.2713
[83.248],102.956505
[83.2173],52.943855
[73.9212],49.891327
[20.1862],87.74449
[20.1744],17.773092
[14.9807],-0.94067276
[14.9807],38.540543
[14.1972],16.54074
[13.9636],16.50751
[13.3253],0.7504432
[13.3252],7.193712
[13.325],39.187782
[0.0558],41.037888
[194.8221],117.50581
[194.8221],135.20111
[98.9174],190.44467
[84.7076],53.560623
[84.6988],119.08274
[84.6985],79.49688
[83.9622],95.92368
[83.849],128.35307
[73.9274],55.9295
[73.9032],62.029087
[54.8847],22.843449
[54.8847],38.540543
[53.8446],17.672506
[53.8011],8.736042
[53.7345],16.792887
[53.7343],23.354427
[53.7342],7.0564604
[53.734],38.3974
[4.9617],27.328074
[155.2615],117.50581
[155.2615],103.44443
[60.2026],103.92859
[44.9127],59.063805
[44.9092],50.86794
[44.9089],71.16796
[44.2898],65.8988
[43.9039],105.18207
[35.1597],59.257637
[35.147],44.041267
[1.8745],10.444059
[1.8745],41.559605
[0.1408],13.780473
[0.0396],28.580807
[147.2257],117.50581
[147.2257],136.94864
[60.2048],124.88116
[44.1596],37.827396
[44.1546],55.941204
[44.1543],49.741364
[44.0861],57.330326
[41.9681],54.2493
[35.1346],36.511585
[35.1232],38.405437
[34.9691],50.90387
[1.8827],10.313497
[0.1396],3.820916
[0.0367],-1.018349
[0.0007],-2.1175425
[0.0006],2.8688889
[159.8815],117.50581
[159.8815],164.5809
[77.9618],169.36285
[62.6957],71.2906
[62.6907],86.64148
[62.6904],79.02664
[62.6136],49.975327
[62.5955],84.34259
[52.7955],53.37612
[52.7872],62.704967
[19.0563],7.2678246
[19.0563],48.59695
[5.9831],12.032783
[0.7436],2.5420725
[0.0003],-3.5696228
[0.0002],3.6668086
[155.1199],117.50581
[155.1199],130.18837
[73.2159],169.7058
[57.9712],85.37197
[57.9652],52.399284
[57.965],64.65463
[57.9607],77.63704
[57.0448],98.29866
[48.0365],63.11154
[48.0258],82.89461
[14.3092],3.6389697
[14.3092],45.26907
[1.2356],10.146362
[0.2723],4.8190575
[0.0004],-6.217022
[0.0003],4.822188
[166.7108],117.50581
[166.7108],164.5809
[85.0316],169.36285
[69.8579],112.906265
[69.8553],61.28534
[69.855],80.79032
[69.8521],94.69131
[61.8467],9.367174
[3.8372],61.73843
[3.7984],32.63732
[0.7564],17.188564
[0.7564],35.503296
[0.7563],8.155119
[0.0167],3.1655715
[0.0005],13.625556
[0.0003],23.900846
[0.0002],3.6958559
[350.053],117.50581
[350.053],312.42584
[259.1222],342.23898
[255.0744],307.7958
[255.0722],266.41217
[247.1141],268.1786
[233.1149],336.24408
[227.0458],212.0278
[227.0447],175.91579
[225.0753],154.64992
[224.7692],141.31755
[224.7692],119.747894
[223.8661],82.09158
[196.8316],23.968578
[196.8108],-4.375794
[196.8107],-16.235897
[196.8105],87.66299
[0.8521],35.530594
[157.0056],117.50581
[157.0056],164.5809
[150.8905],232.63344
[127.2672],56.20898
[122.9693],96.83392
[122.9678],97.5422
[122.0386],114.05615
[111.9828],71.349525
[106.9883],76.91742
[99.0539],88.129776
[92.0751],67.26488
[85.2269],61.066406
[46.0701],45.844738
[46.0699],61.1767
[46.0699],34.37066
[44.3233],24.211712
[0.0074],1.7330488
[0.0003],28.242563
[0.0002],4.840751
[120.563],117.50581
[120.563],130.18837
[44.893],94.518654
[44.6576],74.22428
[44.6567],47.14398
[44.6566],17.314798
[40.6364],11.401307
[9.7095],26.714815
[9.7093],24.92337
[9.7093],18.170317
[7.9601],6.66205
[0.8855],-3.9202597
[0.0004],5.11079
[0.0003],27.478586
[103.5665],117.50581
[103.5665],164.5809
[27.9024],100.810234
[26.8784],86.88804
[26.8782],53.27762
[20.9229],63.041916
[18.9184],35.47719
[18.8591],29.143148
[18.8576],24.456596
[18.8575],19.69631
[17.7209],9.171832
[10.5575],2.4192383
[10.5575],17.097168
[3.0586],16.50831
[2.7022],8.63845
[0.0003],19.893215
[0.0002],12.484602
[100.5437],117.50581
[100.5437],136.94864
[25.0529],81.704025
[23.8866],77.139366
[23.886],53.827103
[23.8857],50.75088
[23.8856],44.55702
[23.8396],62.715443
[20.8148],39.507347
[16.8586],22.248505
[16.8581],18.667074
[16.8579],11.241359
[14.8689],9.6126995
[7.0135],4.118357
[7.0135],9.545112
[0.2087],6.5135016
[0.0547],1.1520987
[0.0007],1.5633234
[0.0006],13.39267
[112.5655],117.50581
[112.5655],79.899155
[37.8926],42.868317
[34.7447],60.722805
[34.7442],81.787056
[34.7373],63.77104
[29.587],53.174614
[28.639],36.640556
[28.6379],29.285921
[28.6378],19.22565
[27.7099],9.780029
[2.7111],7.0572453
[2.7109],9.573263
[2.7109],11.187004
[0.9637],4.652916
[0.8993],-0.6535101
[0.0021],0.890463
[0.002],2.7283816
[97.9207],117.50581
[97.9207],164.5809
[27.8969],91.175255
[25.6307],23.167624
[25.6299],19.10716
[25.6298],29.881868
[23.6363],8.634787
[9.9299],8.397193
[9.9299],11.085697
[3.0563],9.310379
[2.6846],4.091851
[0.0003],22.429394
[0.0002],39.22277
[276.9115],117.50581
[276.9115],130.18837
[276.9021],169.84853
[198.9001],201.28912
[198.7148],72.55134
[198.7145],86.3006
[195.6778],46.62135
[189.9021],48.276104
[188.8975],23.23931
[188.8973],56.71252
[185.8821],35.100456
[152.9443],23.122824
[113.7521],92.00601
[113.7516],41.080627
[87.8934],44.97332
[87.891],51.93285
[85.7314],41.777275
[62.7873],32.928047
[38.7833],100.21202
[38.7831],16.291073
[38.7831],32.124084
[31.9531],33.471195
[31.9531],55.216923
[31.9402],48.12384
[13.6563],34.375137
[11.0444],64.28196
[11.0442],50.845875
[10.6433],22.02965
[10.643],33.159508
[10.6227],18.657413
[10.0833],11.135586
[10.0832],54.97757
[0.0004],55.80604
[0.0004],25.72396
[0.0003],-14.335498
[167.8779],117.50581
[167.8779],134.09818
[98.9024],68.309845
[95.6772],57.337597
[95.677],101.115074
[95.6177],88.29672
[95.609],47.469616
[88.9724],56.145897
[88.972],85.38126
[88.966],108.63436
[88.9591],84.5387
[84.7154],56.970627
[84.7131],53.19962
[39.8373],52.768253
[39.8373],22.888784
[26.93],11.411761
[25.9296],25.002108
[25.6982],25.269476
[25.6981],36.588898
[25.6979],40.48926
[4.7208],39.349316
[155.1597],117.50581
[155.1597],142.61116
[86.243],37.92646
[82.0809],66.791664
[82.0801],55.593548
[79.0126],74.754364
[75.0588],85.78689
[72.0441],76.24466
[72.0439],100.44913
[71.9729],74.335884
[71.3033],67.353264
[69.2032],45.52081
[69.2018],46.495888
[26.3367],77.96961
[26.3367],14.490487
[1.2022],2.0938926
[0.2089],5.4879227
[0.0009],2.8333893
[0.0007],5.3618727
[140.7089],117.50581
[140.7089],152.08586
[140.7027],77.51541
[71.9212],67.620605
[67.9454],56.850773
[67.9447],73.05958
[61.9967],79.85773
[61.7502],48.40602
[57.6491],39.091835
[57.6483],67.32781
[35.9037],30.630028
[35.9037],17.058924
[26.7282],24.609516
[25.8945],10.848299
[20.6964],13.436237
[20.6963],1.8011863
[20.6957],42.92519
[0.9341],34.629837
[378.9148],117.50581
[378.9148],314.18918
[285.0469],345.49667
[275.2114],333.39166
[275.2109],302.29306
[271.3106],215.01408
[268.2075],315.22433
[268.0861],161.77757
[268.084],201.77817
[268.0839],21.410072
[266.2713],207.3613
[265.9675],190.9535
[265.9675],144.54276
[265.0634],117.503075
[265.0105],73.56378
[259.0238],85.84593
[259.0236],29.095615
[259.0216],168.82216
[0.2383],0.69677645
[168.8737],117.50581
[168.8737],164.5809
[101.9039],63.375538
[99.9579],66.15654
[99.9538],67.74323
[98.9469],79.827324
[86.7471],62.2541
[71.7012],63.089527
[71.7007],80.628075
[70.7542],44.69175
[24.797],31.076702
[24.797],32.67652
[23.7471],16.052227
[0.9372],14.972406
[0.0003],-10.087299
[0.0002],-4.3487616
[147.0384],117.50581
[147.0384],210.9233
[80.2524],66.59799
[78.2537],36.478474
[78.2531],158.39026
[77.0692],283.947
[70.9941],316.4593
[66.0059],567.0944
[6.0207],678.3329
[3.1449],30.555227
[2.2018],14.52394
[1.2875],30.395975
[1.2873],26.515411
[1.2873],35.859325
[1.282],53.21908
[1.282],79.47252
[1.2185],53.39901
[0.0342],28.610472
[0.0337],20.366745
[145.0618],117.50581
[145.0618],102.49987
[134.6318],145.56218
[79.0284],116.788445
[76.8144],57.553444
[76.8142],60.437763
[76.0692],47.667404
[72.1075],51.352814
[49.8497],20.456186
[48.7699],47.197014
[48.7616],9.667884
[25.7747],28.340975
[23.0664],77.06161
[22.8908],60.112408
[20.7664],37.704548
[18.7928],44.8077
[18.7914],21.559774
[1.9176],13.321272
[1.9176],26.323175
[0.8719],3.2595828
[0.0787],-0.61536586
[0.0005],-3.7385013
[0.0004],1.5049428
[89.7856],117.50581
[89.7856],164.5809
[85.065],104.99361
[50.1411],90.65067
[49.9017],80.32469
[49.9009],73.53444
[47.8747],96.93862
[47.6586],60.563934
[42.1074],48.91316
[41.7975],31.492435
[41.7942],25.120815
[41.7942],13.28246
[40.8917],15.644375
[0.0238],2.857878
[0.0003],-0.55321515
[0.0002],8.010715
[153.0771],117.50581
[153.0771],136.94864
[91.055],100.87515
[75.045],82.47908
[75.0434],54.371807
[75.0388],59.692135
[66.677],39.834248
[62.0413],70.98712
[62.0393],71.64851
[13.9438],7.635121
[13.9438],36.97088
[6.0183],15.745258
[0.0624],2.2698624
[0.0007],4.7416153
[0.0006],-0.2878238
[49.7693],117.50581
[49.7693],130.18837
[49.7435],214.16289
[36.7288],83.39374
[36.6615],63.378708
[36.6606],127.705574
[29.9213],214.92828
[28.9932],130.6246
[28.9925],34.890327
[21.7675],34.693653
[16.0242],14.762614
[13.9712],10.743391
[13.9712],11.160658
[5.7928],3.8806887
[0.6814],-6.2429233
[0.0004],-0.69571316
[0.0003],16.807152
[172.9353],117.50581
[172.9353],164.5809
[138.0691],129.18085
[137.3376],70.39378
[137.3374],78.8712
[137.2953],69.78903
[126.1686],136.75243
[119.0939],101.015175
[112.2608],96.70675
[35.1495],27.940704
[27.2023],22.53111
[0.0062],-4.881909
[0.0003],46.36725
[0.0002],-9.029007
[149.7422],117.50581
[149.7421],158.33061
[90.9281],53.0462
[81.9437],74.679756
[81.9435],66.73293
[81.9123],48.182777
[81.7869],35.099937
[81.7856],28.04179
[81.7498],21.787642
[81.7117],84.03155
[12.7121],10.844797
[12.7104],64.379845
[4.9645],14.804654
[4.9645],43.551254
[2.6761],9.670693
[2.6495],3.6572337
[0.0003],-0.65177166
[0.0002],-2.691111
[134.6508],117.50581
[134.6508],164.5809
[78.8871],128.59232
[68.8937],87.2318
[68.8935],64.612144
[61.956],58.415607
[57.9202],55.108387
[48.8727],60.47226
[48.8719],43.75539
[47.9877],68.43312
[43.9608],68.75425
[11.6935],60.213615
[11.692],51.751854
[1.7893],11.727337
[1.7893],44.67298
[0.7506],5.2153873
[0.0374],4.685765
[0.0003],1.0797532
[0.0002],-0.4139135
[78.9799],117.50581
[78.9798],158.33061
[78.9742],183.80585
[22.9673],112.79883
[22.0354],40.12748
[22.035],47.48018
[21.8271],74.18828
[21.7856],32.184956
[15.8592],43.55733
[15.8586],10.5171
[14.0463],14.081945
[14.0446],24.778608
[7.8879],0.64631355
[0.1451],12.71472
