y_test,y_pred
0.0004,9.122964
0.0004,0.0121214455
0.1547,9.122964
0.1547,10.632232
0.1542,1.7457255
0.0034,2.4117038
0.0004,9.122964
0.0004,0.0121214455
33.6469,9.122964
33.6469,10.632232
33.6465,21.5908
30.6518,30.932476
30.6479,33.192757
30.6454,32.500793
30.6454,32.409767
30.6454,32.37325
30.6454,32.153454
30.6454,31.717154
30.6454,31.577114
30.6452,32.218346
30.6435,31.034988
30.6435,31.202131
30.6435,29.783298
30.6435,30.249884
14.8405,9.122964
14.8405,10.632232
14.8335,18.448208
14.833,11.864703
14.833,18.796448
14.833,20.188791
14.8329,22.038298
14.8281,23.475319
14.8258,21.390015
14.8258,18.927883
14.8258,18.880928
14.8258,18.659885
14.8258,18.29517
14.8258,17.992481
14.8257,17.215906
14.8245,20.224813
14.8245,18.513487
14.8245,19.429401
14.8245,19.256292
0.0038,6.027238
11.7011,9.122964
11.7011,15.1849985
11.7007,17.180681
11.6997,15.3640585
11.6914,19.520184
11.6857,18.231098
11.6857,13.691658
11.6857,13.9104185
11.6857,14.487143
11.6857,14.462828
11.6857,13.149863
1.023,3.9067283
1.0225,4.190069
1.0225,4.617796
1.0225,4.186589
0.0012,1.3596545
0.0001,0.2243077
0.0001,-0.30202085
0.0001,-0.3593656
0.0001,-0.29859626
12.7222,9.122964
12.7222,15.1849985
12.7219,15.610577
8.8614,22.78491
8.8573,20.914118
8.8503,23.580765
8.8503,22.882607
8.8503,21.91799
8.8503,11.092378
8.8503,11.52406
8.8503,11.40276
0.7654,1.2410194
0.7653,3.285791
0.7653,3.278879
0.7653,3.2815614
0.0105,1.1351647
0.0001,0.2384769
0.0001,0.10031715
0.6897,9.122964
0.6897,10.632232
0.6893,1.3997663
0.0037,0.2846854
10.7983,9.122964
10.7983,10.632232
10.7978,21.357328
9.8884,14.573535
9.8864,11.105855
9.8855,13.854384
9.8855,16.226295
9.8855,16.023655
9.8855,12.329974
9.8855,12.585482
9.8855,12.599974
1.1,1.6063434
1.0999,3.7485814
1.0999,3.8649347
1.0999,3.4730315
0.0075,0.6980483
30.5968,9.122964
30.5968,15.1849985
30.5964,17.180681
30.5464,16.928686
30.5427,16.060637
30.5388,22.377003
30.5388,17.798758
30.5388,16.802622
30.5388,20.40004
30.5388,16.406744
30.5388,16.272106
30.5386,15.295118
30.5373,16.909334
30.5373,18.131952
30.5373,18.572054
30.5373,16.738585
30.5371,27.066721
30.5366,27.415413
30.5366,27.948929
30.5366,26.439491
30.5366,26.253782
5.8108,10.497007
5.8103,13.089225
5.8103,11.44264
5.8103,10.77405
4.0522,8.502999
4.0383,10.790006
4.0383,9.934605
1.7223,6.1954417
1.7144,9.383015
1.7144,7.2004113
0.0071,4.8513927
0.0001,4.4803805
0.0001,3.926575
0.0001,3.3850796
0.0001,3.5974445
0.036,9.122964
0.036,10.632232
0.0008,0.18628478
26.8533,9.122964
26.8533,10.632232
26.8528,21.357328
26.848,10.185179
26.8408,16.34639
26.838,17.532314
26.838,14.85062
26.838,14.926472
26.838,17.517862
26.838,16.12369
26.838,15.924163
26.8378,17.07096
26.8361,10.093131
26.8361,11.214905
26.8361,10.885407
26.8361,11.197749
26.836,16.176176
26.8352,16.294575
26.8352,16.72396
26.8352,17.302814
26.8352,17.211601
26.835,16.190533
26.8335,16.58726
26.8335,17.337366
26.8335,18.119362
26.8335,18.221357
2.1178,3.0887873
2.1175,8.377668
2.1175,7.8165116
2.1175,7.5091743
1.0522,3.3021448
1.0389,3.7523072
1.0389,4.119951
0.1155,1.6542412
0.1114,3.6411662
0.1114,3.102754
0.1114,2.5876732
0.1114,2.3771136
0.0036,2.3476007
13.5543,9.122964
13.5543,15.1849985
13.5538,17.41311
12.9389,14.794127
12.9341,20.949883
12.933,14.766956
12.933,15.075926
12.933,15.212784
12.933,15.7473345
12.933,20.691408
12.933,20.055628
1.7979,10.085551
1.7978,4.689804
1.7978,4.822242
1.7978,4.272087
0.7473,0.82128704
0.7309,3.2180774
0.7309,3.2462828
0.0272,0.9594185
0.0269,1.1711811
0.0269,1.218731
0.0094,1.252016
0.0001,-0.44917315
0.0001,-0.34960288
0.0001,-0.26172045
0.0001,-0.27003995
0.0004,9.122964
0.0004,0.0121214455
25.7063,9.122964
25.7063,10.632232
25.7058,21.357328
25.0915,11.205015
25.0876,50.679394
25.0816,50.355038
25.0816,48.75188
25.0816,49.10035
25.0816,48.3516
25.0816,47.97321
25.0816,47.443718
0.0002,7.592496
7.8168,9.122964
7.8168,10.632232
7.8163,21.357328
7.2142,11.761856
7.2109,8.829356
7.2096,9.085797
7.2096,11.066058
7.2096,11.346245
7.2096,11.536253
7.2096,12.136506
7.2096,12.150998
0.0044,1.717713
35.4913,9.122964
35.4913,10.632232
35.4909,21.5908
30.9048,35.30887
30.904,37.51945
30.9021,35.436226
30.9021,36.37938
30.9021,47.21853
30.9021,38.316246
30.9021,37.47487
30.9021,37.470615
30.9019,38.295815
30.9007,36.855007
30.9007,35.970764
30.9007,34.240025
30.9007,34.113853
0.6421,9.122964
0.6421,10.632232
0.1425,0.49947345
0.141,0.12864338
0.141,1.4369378
0.141,2.2009108
